idItens_de_venda,quantidade,Venda_idVenda,Medicamento_idMedicamento
1,1,1,1
2,2,2,2
3,2,3,3
4,2,4,4
5,3,5,5
6,3,6,6
7,1,7,7
8,2,8,8
9,3,9,9
10,1,10,10
11,1,11,11
12,1,12,12
13,2,13,13
14,3,14,14
15,1,15,15
16,3,16,16
17,2,17,17
18,2,18,18
19,1,19,19
20,1,20,20
21,1,21,21
22,1,22,22
23,1,23,23
24,2,24,24
25,2,25,25
26,2,26,26
27,3,27,27
28,3,28,28
29,3,29,29
30,1,30,30
31,1,31,13
32,1,32,15
33,1,33,16
34,1,34,18
35,2,35,19
36,2,36,12
37,1,37,11
38,2,38,10
39,3,39,1
40,3,40,2
41,2,1,2
42,1,1,3
43,2,23,7
44,3,40,9
45,3,33,13
46,2,2,22
47,1,3,13
48,2,20,27
49,3,29,25
50,3,3,30
51,2,5,18
52,1,7,3
53,2,12,21
54,3,12,25
55,3,38,30
56,2,6,2
57,1,9,3
58,2,3,5
59,3,17,30
60,3,16,12
61,10,41,3
